,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender
0,0,1,0,1,0,1,1,0,1,0,0,6,61,0,0
1,1,1,0,1,1,1,1,1,1,0,0,1,51,0,0
2,0,1,1,1,1,1,0,1,1,1,0,0,62,0,0
3,1,1,0,1,1,1,1,1,0,0,1,3,69,4,0
4,0,1,0,1,1,1,1,0,0,1,0,1,49,3,1
5,1,1,0,1,0,1,1,1,0,0,0,1,55,0,1
6,1,1,1,1,0,1,0,1,1,1,0,1,56,0,0
7,1,1,0,1,1,1,1,1,0,0,0,10,23,4,0
8,0,0,0,1,1,0,0,0,1,0,1,9,58,5,1
9,1,1,0,1,1,1,0,1,1,0,0,0,32,0,0
10,0,1,0,1,0,1,1,0,0,0,1,5,53,0,0
11,1,1,0,1,1,1,0,1,1,0,1,2,28,3,1
12,0,1,0,1,0,1,1,0,0,0,0,8,65,0,1
13,1,1,0,1,0,1,0,1,1,1,0,10,54,3,1
14,0,1,0,1,0,1,0,0,1,0,0,6,67,3,1
15,1,1,0,1,0,1,1,1,0,0,0,2,51,3,1
16,1,1,0,1,1,1,1,1,0,0,0,8,34,3,0
17,1,1,0,0,1,1,0,1,0,0,0,1,31,3,1
18,0,0,0,1,1,1,1,0,1,0,1,7,47,0,0
19,1,1,0,1,1,1,0,1,1,0,1,10,37,1,1
20,1,1,0,1,1,1,0,1,1,0,1,1,41,5,0
21,1,1,0,1,0,1,1,1,1,0,0,1,36,3,1
22,1,1,1,1,1,1,1,1,1,0,1,5,23,4,0
23,1,1,1,1,0,1,0,1,1,0,0,10,50,1,0
24,1,1,0,1,0,1,1,1,0,1,0,1,39,0,0
25,1,1,0,1,1,1,1,0,1,0,0,8,35,0,0
26,1,1,0,1,1,1,1,1,0,0,1,8,20,0,1
27,0,1,0,1,1,1,0,1,0,1,0,8,34,3,0
28,0,1,0,0,0,1,0,0,0,0,0,8,55,0,1
29,1,1,0,1,0,1,1,1,0,1,0,2,24,0,0
30,1,1,0,1,1,1,1,1,0,0,0,2,44,3,1
31,0,1,0,0,0,1,1,1,0,1,0,2,40,3,0
32,1,1,0,1,1,1,1,1,0,0,0,0,55,3,1
33,0,1,0,1,1,1,1,0,0,0,1,7,37,2,1
34,1,1,0,1,0,1,1,1,0,1,0,3,48,4,1
35,0,1,0,1,1,1,1,0,0,0,1,5,54,0,0
36,1,1,0,1,0,1,1,1,0,1,0,2,38,0,0
37,0,1,0,1,1,1,1,0,0,0,1,9,49,0,0
38,0,0,0,1,1,1,1,0,0,0,1,7,35,2,0
39,0,0,0,1,1,1,0,0,1,0,1,7,55,5,1
40,1,0,0,1,0,0,0,1,1,0,0,1,31,5,1
41,1,1,0,1,0,1,1,1,0,1,0,2,57,1,1
42,1,1,1,1,0,1,1,1,0,1,0,3,69,1,1
43,1,1,0,1,0,1,0,1,0,0,0,2,37,0,0
44,0,1,0,1,1,1,1,0,0,0,1,9,60,2,1
45,1,1,1,1,1,1,1,1,1,1,1,1,36,3,1
46,0,1,0,0,0,1,0,1,0,1,0,0,54,0,1
47,1,1,0,1,0,1,0,1,1,0,0,3,66,3,1
48,1,1,0,1,0,1,1,1,0,0,0,8,32,3,0
49,1,1,0,1,1,1,1,1,0,0,0,1,67,5,1
50,0,1,1,1,1,1,0,0,1,0,1,7,42,4,0
51,1,1,0,1,1,1,1,0,0,0,0,1,26,3,0
52,1,1,0,1,1,1,0,1,1,0,0,0,58,5,0
53,0,1,0,1,0,1,0,0,1,0,1,9,48,3,1
54,1,1,0,0,0,1,1,1,0,1,0,3,54,3,0
55,0,1,0,1,0,1,1,1,0,0,0,8,62,5,1
56,0,1,0,1,1,1,1,0,0,0,1,7,52,5,0
57,0,1,0,1,1,1,1,0,0,0,0,8,53,0,1
58,1,1,0,1,0,1,1,1,0,0,0,3,47,1,1
59,1,1,0,1,1,1,1,1,0,0,0,10,26,3,0
60,1,1,0,1,1,1,0,1,0,0,0,10,29,4,0
61,1,1,0,1,1,1,1,1,0,1,0,2,24,4,1
62,1,1,0,1,0,1,1,1,0,1,0,10,25,4,0
63,0,1,0,1,1,1,0,0,1,0,0,8,54,3,1
64,1,1,0,1,1,1,1,1,0,0,0,3,23,3,0
65,0,0,0,1,0,1,0,0,1,0,1,8,34,2,0
66,0,1,0,0,0,0,0,0,1,0,0,0,47,0,1
67,1,1,1,1,1,1,1,1,1,1,1,2,22,4,1
68,0,1,0,1,0,1,1,1,0,1,0,8,47,5,1
69,1,1,0,1,0,1,1,1,0,0,0,3,56,3,1
70,0,1,0,1,0,1,1,0,0,1,0,4,55,0,1
71,1,1,0,0,0,1,1,1,0,1,0,2,56,0,0
72,0,1,0,1,0,0,0,1,1,0,0,8,56,0,0
73,0,1,0,1,1,1,1,1,0,0,0,1,37,0,0
74,1,1,0,0,0,1,1,1,0,1,0,10,50,4,0
75,0,1,0,1,1,0,0,0,1,0,1,4,40,0,1
76,1,1,0,1,0,1,1,1,0,0,0,3,61,4,1
77,0,1,0,1,0,1,0,0,1,0,0,5,55,0,1
78,1,1,1,1,1,1,0,1,1,0,0,4,45,5,0
79,1,1,0,0,0,1,1,1,0,1,0,0,42,3,1
80,0,1,0,1,1,1,0,0,0,0,1,1,52,0,1
81,0,1,0,1,0,1,1,1,0,0,0,1,58,5,0
82,0,1,0,1,0,1,1,1,0,0,0,0,48,3,1
83,1,1,0,0,0,1,1,1,0,1,0,2,58,4,1
84,0,0,0,1,1,1,0,1,1,0,0,6,18,5,1
85,1,1,0,0,0,1,1,1,0,0,0,3,68,3,0
86,1,1,0,1,1,1,1,1,1,0,1,0,49,3,0
87,0,1,0,1,1,0,0,1,1,0,0,9,50,4,0
88,1,1,0,1,0,1,0,1,1,0,0,1,43,0,0
89,1,1,1,1,0,1,1,1,1,0,0,3,67,0,1
90,1,1,0,1,0,1,1,1,0,0,0,0,40,4,0
91,1,1,0,1,1,1,1,1,0,0,1,9,35,2,1
92,0,0,0,1,1,0,0,0,1,0,1,9,42,0,0
93,0,1,0,1,0,1,1,1,0,0,0,1,41,0,0
94,1,1,0,1,1,1,1,1,0,1,0,3,32,3,1
95,1,1,0,1,1,1,0,1,0,0,0,2,21,3,0
96,0,1,0,1,1,1,1,1,0,0,0,3,56,4,0
97,0,1,0,1,1,1,0,0,0,0,0,1,27,0,1
98,0,1,0,1,1,1,0,0,1,0,0,8,48,5,0
99,1,1,0,1,0,1,1,1,0,0,0,1,32,4,1
100,0,1,0,1,1,1,1,0,0,0,0,2,50,3,1
101,1,1,0,1,1,1,0,1,1,0,0,1,42,5,0
102,1,1,1,1,1,1,1,1,1,1,1,10,35,1,1
103,1,1,1,1,0,1,1,1,0,0,0,3,57,3,0
104,1,1,0,1,0,1,0,1,0,0,0,2,68,3,1
105,0,1,0,1,0,1,0,0,1,0,0,2,51,3,0
106,1,1,0,1,1,0,0,1,1,0,1,5,42,0,0
107,0,1,0,1,0,0,0,0,0,0,0,8,44,0,0
108,1,1,0,1,0,1,1,1,0,0,0,1,57,5,0
109,0,1,0,1,1,1,1,0,0,0,0,1,56,5,0
110,0,1,1,1,0,0,0,0,0,0,0,5,57,0,0
111,1,1,0,0,0,1,0,1,1,1,0,10,33,4,0
112,0,0,0,1,1,0,0,0,1,0,1,6,63,0,1
113,1,1,0,1,0,1,0,1,1,0,0,1,55,3,1
114,0,1,0,1,1,0,0,0,1,0,0,8,39,0,0
115,0,1,0,1,0,1,1,0,0,0,0,6,65,2,1
116,1,1,1,1,1,1,1,1,0,1,0,3,47,4,0
117,1,1,0,1,0,1,1,1,0,1,0,0,37,0,0
118,0,1,0,1,1,1,1,0,0,0,1,4,22,5,1
119,0,1,0,1,1,1,1,0,0,0,0,5,51,0,1
120,1,1,0,0,0,1,1,1,0,1,0,10,24,3,0
121,1,1,1,1,1,1,1,1,1,0,0,0,49,3,0
122,1,1,0,1,0,1,0,1,1,1,0,10,55,3,0
123,0,1,0,1,0,1,1,0,0,0,1,9,48,5,1
124,1,1,0,1,1,1,1,1,0,0,0,2,24,0,0
125,0,1,0,1,0,1,0,1,1,0,0,5,47,0,1
126,0,1,0,1,0,1,1,0,0,0,1,7,54,5,1
127,1,1,0,1,0,1,1,1,0,0,0,3,23,4,0
128,0,1,0,1,1,1,1,0,0,1,0,0,34,0,0
129,1,1,0,1,1,1,1,1,0,0,1,2,32,3,0
130,0,1,0,0,0,1,1,0,0,0,0,2,58,3,0
131,0,1,0,1,0,1,0,0,1,0,0,8,46,5,0
132,1,1,0,1,0,1,1,1,0,0,0,8,23,0,0
133,1,1,0,1,1,1,1,1,0,0,0,0,31,3,1
134,0,1,0,1,1,1,1,1,0,0,0,8,59,5,1
135,0,1,1,1,1,1,0,0,1,1,0,8,47,3,1
136,1,1,0,1,0,1,1,1,0,0,0,2,58,1,0
137,1,1,0,1,0,1,1,1,0,0,0,3,55,0,1
138,1,1,0,1,1,0,1,1,0,0,0,3,62,3,0
139,1,1,0,1,1,1,1,1,0,0,0,1,20,3,1
140,0,1,0,1,0,1,1,1,0,0,0,8,42,0,1
141,0,1,0,1,1,1,1,0,0,0,1,6,29,3,1
142,0,1,0,1,0,1,0,0,1,0,0,0,63,3,1
143,0,1,0,1,1,1,1,1,0,0,1,1,26,4,1
144,1,0,0,1,1,1,1,1,0,0,0,10,19,3,0
145,1,1,0,1,0,1,1,1,0,0,0,0,61,5,0
146,1,1,0,1,1,1,0,1,1,0,0,10,19,4,1
147,1,1,0,1,0,1,0,1,1,1,0,3,56,3,0
148,0,1,0,1,1,1,0,0,1,0,1,7,39,5,0
149,1,1,0,1,1,1,0,1,1,0,0,8,45,3,1
150,0,0,0,1,1,0,0,0,1,0,1,9,52,5,1
151,1,1,0,0,0,1,1,1,0,1,0,8,42,3,0
152,1,1,0,1,1,1,0,1,1,0,0,2,47,3,0
153,1,1,0,1,0,1,1,1,0,0,0,10,22,4,0
154,1,1,1,1,1,1,1,1,0,0,0,1,63,3,1
155,1,1,0,1,1,1,1,1,0,0,0,10,65,0,0
156,0,1,0,0,0,1,1,1,0,0,0,0,63,0,1
157,1,1,0,1,1,1,0,1,1,0,0,2,25,3,1
158,1,1,0,1,1,1,0,1,1,0,0,0,62,5,1
159,0,1,0,1,1,0,1,0,0,0,0,8,59,5,0
160,0,1,0,1,1,1,1,1,0,0,0,0,67,5,1
161,0,0,0,1,1,1,0,0,1,0,1,9,60,2,1
162,1,1,0,0,0,1,1,1,0,1,0,3,69,4,1
163,0,0,0,1,1,1,0,0,1,0,1,9,40,2,1
164,1,1,0,0,0,1,1,1,0,1,0,1,67,5,1
165,1,1,0,0,0,1,1,1,0,1,0,1,37,0,0
166,0,1,1,0,1,1,0,0,1,0,0,7,65,0,1
167,1,1,0,1,0,1,0,1,1,0,0,2,64,3,0
168,1,1,0,1,0,1,1,1,0,0,0,3,57,3,0
169,1,1,0,1,1,1,0,1,1,1,0,10,37,4,1
170,1,1,0,1,1,1,0,1,1,1,0,1,39,3,0
171,1,1,0,1,0,1,0,1,0,0,0,0,64,0,1
172,1,1,0,1,1,1,1,1,0,0,1,5,23,5,1
173,1,0,1,1,1,1,1,0,0,0,1,1,50,4,0
174,0,1,0,1,1,1,0,0,1,0,1,7,60,0,1
175,0,1,0,1,1,1,0,0,1,0,1,5,32,5,1
176,0,1,0,1,1,1,1,0,0,0,1,9,59,2,0
177,0,0,0,1,0,1,0,0,1,0,1,5,37,3,1
178,1,1,0,1,1,1,0,1,0,1,0,2,25,1,0
179,0,1,0,0,0,1,0,0,0,0,0,2,55,3,1
180,0,1,0,1,1,1,0,1,1,0,1,5,25,3,1
181,0,1,0,0,0,1,1,0,0,1,1,6,35,5,0
182,0,0,1,1,1,1,1,0,0,0,1,7,58,2,0
183,0,1,0,1,1,1,1,0,0,0,1,9,32,2,1
184,1,1,0,1,1,1,1,1,1,0,1,9,45,2,0
185,0,1,0,1,0,1,0,0,1,0,0,6,60,5,0
186,0,1,0,1,0,1,1,1,0,0,0,2,59,5,1
187,0,1,0,1,0,1,1,0,0,0,0,8,36,3,0
188,0,1,0,1,1,1,1,0,0,0,1,8,55,5,1
189,1,1,0,1,0,1,1,0,0,0,0,0,55,0,0
190,1,1,0,1,0,1,0,1,1,0,0,2,22,3,0
191,1,1,0,1,1,1,1,1,0,0,0,2,21,4,0
192,1,1,0,1,1,1,1,1,0,0,0,0,62,4,1
193,1,1,0,1,1,1,1,1,0,0,0,2,29,3,1
194,1,1,0,1,1,1,1,1,0,1,0,0,36,3,0
195,0,1,0,1,1,1,0,0,0,0,0,8,44,5,1
196,0,1,0,1,1,1,1,0,0,0,0,1,47,5,0
197,0,0,0,1,1,0,0,0,1,0,1,9,57,5,0
198,0,1,0,1,0,1,1,1,0,0,0,0,23,5,0
199,1,1,0,1,1,1,1,1,0,0,0,10,31,4,0
200,1,1,0,0,0,1,1,1,0,1,0,3,70,1,0
201,1,1,1,1,0,1,1,1,0,1,0,10,24,4,1
202,0,1,0,1,1,1,0,1,1,0,0,2,27,0,1
203,0,1,0,1,1,1,1,0,0,0,1,9,58,2,0
204,0,1,1,1,0,1,1,0,0,0,0,1,51,4,1
205,0,0,0,1,1,0,0,0,1,0,1,5,36,0,1
206,0,1,0,1,0,1,1,1,0,0,0,8,36,3,0
207,0,0,1,1,1,1,0,0,1,0,1,8,43,0,1
208,0,1,1,1,1,0,0,0,1,0,1,6,64,2,1
209,0,1,0,1,0,1,0,0,1,0,1,6,52,3,1
210,0,1,0,1,0,1,1,1,0,0,0,0,53,2,1
211,0,1,0,1,1,1,0,0,1,0,1,9,52,2,0
212,1,1,1,1,1,1,1,1,0,0,0,2,33,4,0
213,1,1,0,1,1,1,1,1,0,0,0,10,24,4,1
214,1,1,0,0,0,1,0,1,0,0,0,3,64,3,0
215,1,1,1,1,1,1,0,1,1,1,1,2,41,3,1
216,0,0,0,1,1,0,1,0,0,0,1,9,56,5,0
217,1,1,0,1,0,1,1,1,0,1,0,3,49,3,0
218,1,0,0,1,1,1,0,1,1,0,0,4,24,5,0
219,0,1,0,1,0,1,1,0,0,0,0,1,62,0,0
220,0,1,0,0,0,1,1,1,0,0,0,8,56,0,1
221,1,1,0,1,1,0,0,1,0,0,0,2,67,0,1
222,1,1,0,1,0,1,1,1,0,0,0,2,27,3,1
223,0,1,0,1,0,1,0,0,1,0,1,7,53,5,1
224,1,1,1,1,0,1,1,1,0,1,1,7,60,5,0
225,0,1,0,1,1,1,1,1,0,0,0,8,51,5,0
226,0,1,1,1,1,1,0,1,1,0,0,9,67,5,0
227,1,1,0,1,0,1,1,1,0,0,0,2,27,3,0
228,0,1,0,1,1,1,0,0,1,0,0,8,56,0,1
229,1,1,0,1,1,1,1,1,0,0,0,3,39,3,1
230,1,1,0,1,0,1,1,1,0,0,0,3,35,4,0
231,1,1,0,1,1,1,1,1,0,0,0,1,68,3,0
232,1,1,0,0,1,1,1,1,0,1,0,10,57,4,0
233,0,1,0,1,1,1,1,0,0,0,1,9,50,2,0
234,1,1,0,0,0,1,1,1,0,1,0,2,64,3,0
235,0,1,0,1,0,1,1,0,0,0,0,6,66,4,0
236,1,1,1,0,0,1,1,1,0,1,0,10,27,1,1
237,0,0,0,1,0,1,0,0,1,0,1,9,70,2,1
238,0,1,0,1,1,0,1,1,1,0,0,4,51,3,1
239,1,1,0,1,0,1,1,1,0,0,0,8,60,5,0
240,0,0,0,1,0,1,0,0,1,0,1,7,49,5,0
241,0,1,0,1,1,1,1,0,0,0,1,9,54,2,0
242,0,0,0,1,1,1,0,0,1,0,1,9,58,2,0
243,0,0,0,0,0,1,1,0,0,0,0,6,70,3,0
244,1,1,0,0,0,1,0,1,1,0,0,2,59,1,1
245,0,1,0,1,0,1,1,0,0,1,0,0,54,5,0
246,0,1,1,0,1,1,0,0,1,0,0,6,52,0,0
247,1,1,0,1,1,1,1,1,0,1,0,3,22,4,0
248,1,1,0,1,1,1,0,1,1,0,0,2,53,0,0
249,1,1,0,0,0,1,1,1,0,1,0,10,69,1,0
250,0,1,1,1,1,1,0,0,1,0,1,0,20,0,1
251,1,1,1,1,0,1,1,0,0,0,0,2,66,3,0
252,1,1,0,1,0,1,1,1,0,0,0,10,25,1,0
253,1,1,0,1,1,1,0,1,1,0,0,10,31,4,0
254,1,1,0,1,0,1,1,1,0,1,0,0,67,3,0
255,1,1,1,1,0,1,1,1,0,0,0,2,56,3,0
256,0,1,0,1,1,1,1,1,0,0,0,0,48,5,0
257,0,1,0,1,0,1,1,0,0,0,0,4,54,0,0
258,1,1,0,0,0,1,1,1,0,1,0,10,58,3,1
259,1,1,0,1,0,1,1,1,0,0,0,2,42,4,0
260,1,1,0,1,0,1,0,1,0,0,0,3,38,4,0
261,0,1,0,1,1,1,1,1,0,1,0,1,28,0,1
262,1,1,0,1,0,1,0,1,1,0,0,2,47,4,0
263,0,0,0,1,1,1,1,0,0,0,0,8,49,5,1
264,0,1,0,1,1,1,1,1,0,0,1,8,40,0,0
265,0,0,0,1,1,1,0,1,1,1,1,8,31,4,1
266,0,1,1,1,1,1,1,0,0,0,0,9,50,2,1
267,1,0,1,1,0,1,1,1,0,0,0,4,69,5,0
268,1,1,0,1,0,1,1,1,0,1,0,3,40,3,0
269,1,1,0,1,1,1,1,1,0,0,1,10,30,3,1
270,0,1,0,1,1,1,1,1,0,0,1,6,44,5,1
271,1,1,0,1,1,1,0,1,1,0,0,2,32,3,1
272,1,1,0,1,0,1,1,1,0,0,0,2,67,4,1
273,1,1,0,1,1,1,1,1,0,0,0,10,18,4,0
274,0,1,0,1,1,1,1,0,0,0,0,6,27,5,0
275,0,1,0,1,1,1,0,0,1,0,0,4,61,5,0
276,0,1,0,1,0,1,1,0,0,0,0,7,47,5,1
277,1,1,0,1,1,1,1,1,0,0,0,7,20,0,1
278,1,1,0,1,1,1,1,1,0,0,0,3,26,4,1
279,0,1,0,1,0,1,1,0,0,0,0,7,65,5,0
280,0,0,1,1,1,0,0,0,1,0,1,9,64,2,1
281,1,1,0,1,1,1,1,1,0,1,0,10,20,4,1
282,1,1,0,1,1,0,0,1,1,0,0,1,29,3,0
283,1,1,1,1,1,1,0,1,1,0,0,1,45,3,0
284,1,0,0,1,0,1,1,1,0,0,0,8,31,5,0
285,1,1,0,1,1,1,1,1,0,0,0,10,41,4,0
286,0,0,0,1,0,1,0,0,1,0,0,9,61,2,0
287,0,0,0,1,1,1,0,0,1,0,1,9,69,2,0
288,0,1,0,1,1,1,1,0,0,0,1,0,28,3,1
289,0,1,0,0,0,1,0,0,0,0,0,2,68,3,1
290,0,0,0,1,0,1,1,0,0,0,0,7,60,2,1
291,1,1,0,1,1,1,0,1,0,0,0,8,56,5,0
292,0,1,0,1,0,1,0,0,1,0,0,8,61,5,0
293,0,1,1,1,1,1,0,1,1,0,0,8,61,4,1
294,0,1,0,1,0,1,1,0,0,0,0,7,63,5,1
295,0,1,0,1,0,1,1,1,0,0,0,2,40,3,0
296,0,1,0,1,1,1,1,1,0,1,0,4,36,0,1
297,1,1,0,1,1,1,1,0,0,0,0,0,30,3,0
298,1,1,0,1,0,1,0,1,1,0,0,3,32,3,0
299,1,1,0,0,0,1,0,1,1,1,0,10,37,1,1
300,1,1,0,1,0,0,1,1,0,1,0,2,61,4,1
301,1,1,0,1,1,1,0,1,1,0,0,2,34,3,0
302,1,1,0,1,1,1,0,1,1,0,0,0,24,3,1
303,1,1,0,1,1,0,0,1,1,0,0,0,39,3,1
304,0,1,0,1,0,1,0,1,1,0,0,8,50,0,1
305,1,1,0,1,0,1,0,1,1,1,0,0,46,3,1
306,1,1,0,1,0,1,0,0,1,0,0,1,43,3,0
307,1,1,0,1,0,1,1,1,0,0,0,3,36,3,1
308,1,0,0,0,1,0,0,1,1,0,1,9,26,4,1
309,1,1,0,1,0,1,1,1,0,1,0,1,32,3,0
310,0,0,0,1,1,0,0,0,1,0,1,9,50,2,0
311,0,1,0,1,1,1,1,0,0,0,0,5,56,5,0
312,1,1,0,1,0,1,1,1,0,0,0,2,57,0,0
313,1,1,0,1,1,1,1,1,0,0,0,4,25,5,1
314,0,1,0,1,1,1,1,1,0,0,0,4,47,3,0
315,1,1,0,1,0,1,0,1,1,0,0,8,32,5,1
316,1,1,0,1,0,1,1,1,0,1,0,2,32,4,0
317,0,1,0,1,1,1,1,1,0,1,0,8,57,0,0
318,1,1,0,1,1,1,1,1,0,0,0,10,42,4,1
319,0,1,0,1,0,1,1,0,0,0,0,1,31,4,1
320,0,0,0,1,1,1,0,0,1,0,1,6,37,5,0
321,1,1,0,0,0,1,1,1,1,1,0,2,33,0,0
322,1,1,0,1,0,1,0,1,0,0,0,4,46,0,0
323,1,1,0,1,0,1,0,1,1,0,0,1,41,0,0
324,0,1,0,0,0,1,1,0,0,1,0,4,60,0,1
325,1,1,0,1,0,1,1,1,0,1,0,1,42,3,1
326,0,1,0,1,0,1,1,1,0,0,0,0,45,3,0
327,1,1,0,1,1,1,0,0,0,0,0,8,36,0,1
328,1,1,0,1,0,0,0,1,1,1,0,1,44,3,1
329,1,1,1,0,1,0,0,1,1,0,0,0,34,3,1
330,1,0,0,1,1,1,1,1,0,0,0,1,22,0,1
331,0,1,0,1,1,1,1,0,0,0,1,7,64,0,1
332,1,1,0,0,0,1,1,1,0,1,0,10,36,3,1
333,1,1,0,1,1,1,1,1,0,0,0,10,23,3,1
334,0,1,0,1,0,1,1,1,0,0,0,7,69,0,0
335,0,1,0,1,1,1,1,0,0,0,0,9,64,2,0
336,1,1,0,1,0,1,1,1,0,0,0,3,53,0,1
337,0,1,0,1,1,0,0,0,0,0,1,7,40,2,0
338,0,1,0,1,0,1,1,0,0,0,1,7,56,0,0
339,0,1,0,1,1,0,0,1,0,0,0,1,48,4,0
340,1,0,0,1,0,1,1,1,0,1,0,10,62,3,0
341,1,1,0,0,0,1,1,1,0,1,0,1,65,0,0
342,1,1,0,0,0,1,0,1,1,0,0,3,34,3,1
343,0,1,0,1,1,1,0,0,0,0,1,9,27,2,0
344,1,1,0,1,0,1,1,1,0,0,0,1,25,0,1
345,1,1,0,1,1,1,1,1,0,0,1,4,55,5,0
346,1,1,0,1,0,1,1,1,0,0,0,10,38,4,0
347,1,1,0,1,0,1,0,1,1,1,0,0,52,3,0
348,1,1,0,1,0,0,0,1,1,0,0,2,36,3,1
349,1,1,0,1,1,1,1,1,0,0,0,4,36,3,1
350,1,1,0,1,0,1,0,1,1,0,0,8,52,3,0
351,1,1,0,1,1,1,1,1,1,0,0,10,49,4,0
352,0,1,0,1,0,1,0,1,0,0,0,1,58,3,0
353,1,1,1,0,0,1,1,1,0,1,0,2,67,3,0
354,0,1,0,1,1,1,1,1,0,0,1,0,56,0,0
355,1,1,0,1,1,0,0,1,1,0,0,1,43,4,0
356,1,1,0,1,0,1,1,1,0,0,0,0,43,4,0
357,1,1,0,1,1,1,0,1,1,0,1,0,23,0,0
358,1,1,0,1,1,1,1,1,1,0,0,0,29,4,1
359,0,1,0,1,1,0,0,0,1,0,1,7,32,5,1
360,0,1,0,1,1,1,1,0,0,0,0,0,35,4,0
361,1,1,0,0,1,1,0,1,1,0,1,1,46,4,1
362,0,1,0,0,0,1,1,1,0,1,0,2,55,3,0
363,1,1,0,1,0,1,1,1,0,0,0,3,45,4,0
364,1,1,0,1,0,0,0,1,1,0,0,1,39,0,1
365,0,1,0,0,0,1,0,1,1,1,1,6,52,5,1
